,0
781,DFIN
782,MG
783,LVS
784,SAH
785,DMRC
786,WAL
787,ESLT
788,HAE
789,NEU
790,DHC
791,RNR
792,LPX
793,PTC
794,AMS
795,ACT
796,IBOC
797,WLDN
798,GEVO
799,RBC
800,BXC
801,MDU
802,FNKO
803,IBCP
804,AER
805,RELL
806,MNDY
807,TRV
808,RUSHA
809,ORRF
810,CPAY
811,CTS
812,AX
813,LNW
814,CWAN
815,HCKT
816,RDN
817,QCRH
818,PUMP
819,POST
820,EQH
821,GL
822,PLUS
823,PPA
824,INNV
825,SHOP
826,TPH
827,SU
828,GATX
829,TGI
830,APG
831,CMC
832,MTH
833,JWN
834,NNOX
835,BAH
836,OMAB
837,XPOF
838,VOXX
839,CSTL
840,CRM
841,CBOE
842,ATOM
843,SNPS
844,CMPR
845,AVXL
846,ADUS
847,MEC
848,JPM
849,DK
850,BRO
851,GTE
852,OSBC
853,SPSC
854,BCML
855,BUR
856,OSPN
857,COMM
858,METC
859,ALHC
860,CACI
861,BCO
862,DVA
863,GS
864,SAN
865,PNR
866,ZVRA
867,KAR
868,SCPH
869,DHI
870,CTLP
871,WELL
872,CHX
873,AMZN
874,SKY
875,BWIN
876,NVR
877,NRIX
878,ORI
879,RLI
880,SCSC
881,AMWD
882,EOG
883,ASX
884,ACNB
885,IRMD
886,FWONA
887,NSIT
888,SITM
889,ITT
890,HLIT
891,NKTX
892,LGND
893,WFC
894,IMXI
895,UFCS
896,ORIC
897,OVV
898,BKD
899,AYI
900,CVI
901,UHS
902,BJ
903,LIND
904,DCO
905,WPM
906,WTFC
907,ARMK
908,HPE
909,COP
910,USAC
911,RSI
912,CHCO
913,BLFS
914,FBP
915,WSR
916,FHN
917,CAKE
918,PREC
919,CTRA
920,KOF
921,ACRS
922,TCBI
923,RBCAA
924,BCH
925,PKB
926,BFC
927,RSG
928,DGII
929,TSEM
930,TCBX
931,ROST
932,MGRC
933,AGRO
934,SHEL
935,SGI
936,SHCO
937,L
938,IGM
939,GPK
940,AEIS
941,AGIO
942,LI
943,CCBG
944,V
945,MA
946,RSVR
947,CB
948,AAPL
949,PST
950,LAD
951,CURV
952,ASND
953,STN
954,INGR
955,MKL
956,ANIP
957,OIS
958,HEES
959,NRGV
960,XAR
961,ARQT
962,TRNS
963,DRD
964,ROL
965,HL
966,ACM
967,BLD
968,EWBC
969,TW
970,AIZ
971,ZYXI
972,MBWM
973,VLGEA
974,TALO
975,PRGS
976,SD
977,WOR
978,MCY
979,SLB
980,CQP
981,CARR
982,TPZ
983,NVEC
984,MGY
985,NATH
986,BAR
987,KR
988,BKE
989,IAU
990,MAC
991,TCMD
992,EMR
993,MSB
994,KOS
995,LECO
996,CF
997,CASH
998,CMBT
999,UFPI
1000,EXTR
1001,STOK
1002,CAL
1003,BRC
1004,HALO
1005,ESTC
1006,HESM
1007,CCEP
1008,CRC
1009,GTES
1010,ETR
1011,IPAR
1012,VIRT
1013,AZEK
1014,TFII
1015,SYK
1016,FOR
1017,FROG
1018,TWST
1019,ALK
1020,ARCO
1021,LFST
1022,BV
1023,LMT
1024,ETNB
1025,LZB
1026,PRN
1027,DDOG
1028,GHC
1029,LEN
1030,ABCB
1031,ABM
1032,RGLD
1033,MC
1034,UI
1035,IGE
1036,SAIC
1037,SSD
1038,SKE
1039,TRI
1040,NTAP
1041,COF
1042,ATEN
1043,ALKS
1044,PRK
1045,ATEC
1046,BK
1047,EPD
1048,KCE
1049,SEIC
1050,PNFP
1051,RXRX
1052,EQBK
1053,RTX
1054,FOX
1055,FCN
1056,IH
1057,GSHD
1058,SUPN
1059,HAL
1060,WTW
1061,SEM
1062,DBX
1063,K
1064,FOXA
1065,VMI
1066,GLW
1067,NI
1068,AVT
1069,WEX
1070,ACLS
1071,YOU
1072,MET
1073,FWRG
1074,HTHT
1075,CINF
1076,SPFI
1077,MBIN
1078,SBRA
1079,SRE
1080,SALM
1081,RLX
1082,ALG
1083,NL
1084,PEO
1085,IQ
1086,ABBV
1087,ACMR
1088,MS
1089,AIG
1090,MSFT
1091,FCBC
1092,KYMR
1093,FORM
1094,CRT
1095,ERO
1096,TRN
1097,SSB
1098,SLV
1099,MAIN
1100,NBTB
1101,PBH
1102,BJRI
1103,BOX
1104,PSMT
1105,ATO
1106,DRI
1107,LE
1108,FBK
1109,ITIC
1110,ADI
1111,OHI
1112,FSBW
1113,PRG
1114,MTB
1115,CWST
1116,MUR
1117,KALV
1118,SATS
1119,ESGR
1120,MSGS
1121,SRS
1122,NIC
1123,ATR
1124,CIEN
1125,PTEN
1126,RPM
1127,LAB
1128,CBRE
1129,GILD
1130,VRNS
1131,APLS
1132,VNT
1133,RAND
1134,CGEM
1135,UWMC
1136,MTRN
1137,MCBS
1138,AEG
1139,JMSB
1140,MRK
1141,FLNC
1142,DORM
1143,BN
1144,DE
1145,AMKR
1146,SES
1147,RDVT
1148,WLK
1149,VMC
1150,LAZ
1151,NWSA
1152,MCO
1153,PFBC
1154,SUN
1155,GFL
1156,HCA
1157,PEG
1158,STBA
1159,PSI
1160,CTVA
1161,EML
1162,IDT
1163,VHI
1164,FDP
1165,HNI
1166,BURL
1167,TEX
1168,EXPE
1169,PCOR
1170,LUMN
1171,AWI
1172,EFSC
1173,BR
1174,SEVN
1175,ONB
1176,IONS
1177,ESRT
1178,CIA
1179,FLNG
1180,WCN
1181,EIG
1182,LRCX
1183,HSTM
1184,GD
1185,AIV
1186,HXL
1187,AME
1188,KMPR
1189,TTEK
1190,KBR
1191,PM
1192,MMC
1193,SFL
1194,MCS
1195,SLGN
1196,ON
1197,CVX
1198,ENS
1199,PVH
1200,FNB
1201,TBCH
1202,VRSK
1203,AMAT
1204,CROX
1205,HBT
1206,VUZI
1207,NOC
1208,CTBI
1209,VTOL
1210,LIN
1211,TAP
1212,GMED
1213,PAHC
1214,ANDE
1215,VIS
1216,BPOP
1217,SRCE
1218,AON
1219,UTL
1220,ESNT
1221,PLNT
1222,PRM
1223,IOVA
1224,AMG
1225,SNV
1226,ING
1227,DAC
1228,CHDN
1229,MLM
1230,CI
1231,PARR
1232,ITRN
1233,CARE
1234,SIG
1235,PHAT
1236,INSP
1237,VSCO
1238,HYLN
1239,SMIN
1240,NOV
1241,ESSA
1242,IOSP
1243,BYD
1244,RNW
1245,QLYS
1246,WM
1247,EP
1248,IP
1249,T
1250,WWW
1251,VNO
1252,FULT
1253,PNW
1254,OMC
1255,NPK
1256,FDX
1257,SYBT
1258,PDCO
1259,NHI
1260,RHP
1261,ZIG
1262,SIGI
1263,LW
1264,GCMG
1265,MLNK
1266,ADP
1267,HOMB
1268,CDNA
1269,BFIN
1270,PKE
1271,AMRK
1272,CRTO
1273,CRUS
1274,KRG
1275,DINO
1276,IRTC
1277,HWC
1278,ICFI
1279,SGU
1280,GIL
1281,LYV
1282,NUE
1283,HBCP
1284,TTSH
1285,PODD
1286,BFH
1287,SO
1288,WYNN
1289,EIX
1290,LEGH
1291,SIM
1292,TYL
1293,CIG
1294,ETD
1295,WH
1296,ARCT
1297,THG
1298,BANR
1299,PRSU
1300,CTRE
1301,EVGO
1302,EQIX
1303,AAL
1304,OMF
1305,RBLX
1306,TSCO
1307,CPA
1308,EQX
1309,SMBK
1310,SMBC
