Date de Scoring,Identifiant Bloomberg Company,ISSUER_EQUITY_TICKER,Nom de l'émetteur,Identifiant sous industrie GICS,Groupe Industrie GICS,Pays,Score ESG brut
2 avr. 2025,827647,035720 KS,Kakao Corp,50203010,Media & Entertainment,KR,
2 avr. 2025,8278563,VRN CN,Veren Inc,10102020,Energy,CA,11.0411407
2 avr. 2025,8285366,CNO US,CNO Financial Group Inc.,40301020,Insurance,US,14.61957564
2 avr. 2025,8285715,600507 CH,Fangda Special Steel Technology Co Ltd,15104050,Materials,CN,3.1827647
2 avr. 2025,829422,4819 JP,Digital Garage Inc.,45102010,Software & Services,JP,4.845026485
2 avr. 2025,8297690,2314 HK,Lee & Man Paper Manufacturing Ltd.,15105020,Materials,HK,6.064142552
2 avr. 2025,8300155,3371 JP,Softcreate Holdings Corp.,45102010,Software & Services,JP,4.045862813
2 avr. 2025,8302542,DIREN FP,Direct Energie SA,55101010,Utilities,FR,9.8405233
2 avr. 2025,8302962,ANGO US,AngioDynamics Inc.,35101010,Healthcare Equipment & Services,US,5.64884939
2 avr. 2025,8320315,600406 CH,NARI Technology Co Ltd,20104020,Capital Goods,CN,7.755831673
2 avr. 2025,8334082,255732Z CN,Yukon Development Corp.,55101010,Utilities,CA,2.078831392
2 avr. 2025,833413,VLK NA,Van Lanschot Kempen NV,40203010,Diversified Financials,NL,12.0579912
2 avr. 2025,833765,RGP US,Resources Connection Inc.,20202020,Commercial & Professional Services,US,7.40341303
2 avr. 2025,833983,AAL LN,Anglo American Plc,15104020,Materials,GB,12.17357842
2 avr. 2025,834729,8150 TT,ChipMOS Technologies Inc.,45301020,Semiconductors & Semiconductor Equipment,TW,12.64930027
2 avr. 2025,8347770,MDIA3 BZ,M. Dias Branco SA Industria e Comercio de Alimentos,30202030,"Food, Beverage & Tobacco",BR,15.04813643
2 avr. 2025,834801,INVA US,Innoviva Inc.,35202010,"Pharmaceuticals, Biotechnology & Life Sciences",US,4.445743753
2 avr. 2025,834944,KNOCPZ KS,Korea National Oil Corp.,10102020,Energy,KR,14.81286153
2 avr. 2025,8349695,NCC LN,NCC Group Plc,45102010,Software & Services,GB,12.21672116
2 avr. 2025,835530,IFX GR,Infineon Technologies AG,45301020,Semiconductors & Semiconductor Equipment,DE,11.12747113
2 avr. 2025,835670,ONTF US,ON24 Inc.,45103010,Software & Services,US,11.98798524
2 avr. 2025,835769,6116 TT,Hannstar Display Corp,45203015,Technology Hardware & Equipment,TW,13.05237974
2 avr. 2025,836415,NIBC NA,NIBC Holding NV,40101010,Banks,NL,13.69071078
2 avr. 2025,836423,ELG GR,Elmos Semiconductor SE,45301020,Semiconductors & Semiconductor Equipment,DE,7.550814262
2 avr. 2025,836738,8739 JP,SPARX Group Co. Ltd.,40203010,Diversified Financials,JP,10.06659121
2 avr. 2025,8369611,NFIL IN,Navin Fluorine International Ltd.,15101050,Materials,IN,6.958991704
2 avr. 2025,8369687,289500Z NA,,,,,8.193887905
2 avr. 2025,8370875,0534140D US,,,,,11.39884314
2 avr. 2025,8372095,PMBT MK,PMB Technology Bhd,15104010,Materials,MY,7.551177164
2 avr. 2025,8372750,IPO LN,IP Group Plc,40203010,Diversified Financials,GB,9.545202583
2 avr. 2025,8372862,VNA GR,Vonovia SE,60102020,Real Estate,DE,10.50684144
2 avr. 2025,837599,PHM SM,Pharma Mar SA,35201010,"Pharmaceuticals, Biotechnology & Life Sciences",ES,9.019314475
2 avr. 2025,837733,SPSN SW,Swiss Prime Site AG,60102020,Real Estate,CH,10.15062966
2 avr. 2025,837757,LPSN US,LivePerson Inc,45103010,Software & Services,US,7.193437284
2 avr. 2025,837785,601336 CH,New China Life Insurance Co. Ltd.,40301020,Insurance,CN,4.342828283
2 avr. 2025,8379578,CGX CN,Cineplex Inc.,50202010,Media & Entertainment,CA,8.811298185
2 avr. 2025,8380994,SC TB,SC Asset Corp. Public Co. Ltd.,60102030,Real Estate,TH,6.569126618
2 avr. 2025,8381275,2357 HK,AviChina Industry & Technology Co. Ltd.,20101010,Capital Goods,CN,9.055610728
2 avr. 2025,8382527,601166 CH,Industrial Bank Co. Ltd.,40101010,Banks,CN,8.022083686
2 avr. 2025,8382571,PRI US,Primerica Inc.,40301020,Insurance,US,12.00554661
2 avr. 2025,8382942,8795 JP,T&D Holdings Inc.,40301020,Insurance,JP,7.665637506
2 avr. 2025,8383038,RECSI NO,REC Silicon ASA,45301010,Semiconductors & Semiconductor Equipment,NO,5.53956728
2 avr. 2025,8384102,600021 CH,Shanghai Electric Power Co Ltd,55105010,Utilities,CN,5.199288499
2 avr. 2025,8386331,AMPH US,Amphastar Pharmaceuticals Inc.,35202010,"Pharmaceuticals, Biotechnology & Life Sciences",US,6.662932093
2 avr. 2025,8386931,8341 TT,Sunny Friend Environmental Technology Co. Ltd.,20201050,Commercial & Professional Services,TW,9.51394966
2 avr. 2025,8387091,264154Z ID,,,,,8.587023298
2 avr. 2025,839148,601818 CH,China Everbright Bank Co. Ltd.,40101010,Banks,CN,5.431795447
2 avr. 2025,839215,002736 CH,Guosen Securities Co Ltd,40203020,Diversified Financials,CN,6.1959444
2 avr. 2025,8394871,2340173Z GR,,,,,7.704441582
2 avr. 2025,839508,600958 CH,Orient Securities Co. Ltd.,40203020,Diversified Financials,CN,7.290624288
2 avr. 2025,8395894,HMACLZ CH,Haikou Meilan International Airport Co. Ltd.,20305010,Transportation,CN,6.141760462
2 avr. 2025,839618,002500 CH,Shanxi Securities Co Ltd,40203020,Diversified Financials,CN,6.541159618
2 avr. 2025,8396518,263447Z SP,SP PowerAssets Ltd.,55101010,Utilities,SG,6.610071982
2 avr. 2025,8396582,JHG US,Janus Henderson Group Plc,40203010,Diversified Financials,GB,10.80233178
2 avr. 2025,8400320,CSH-U CN,Chartwell Retirement Residences,35102020,Healthcare Equipment & Services,CA,10.44797602
2 avr. 2025,8400422,600477 CH,Hangxiao Steel Structure Co Ltd,20103010,Capital Goods,CN,8.606898593
2 avr. 2025,8400646,BLA TB,Bangkok Life Assurance Public Co. Ltd.,40301020,Insurance,TH,8.786104294
2 avr. 2025,8401234,2328 HK,PICC Property & Casualty Co. Ltd.,40301040,Insurance,CN,4.551294461
2 avr. 2025,8402011,0534142D JY,,,,,8.236003663
2 avr. 2025,8406091,2142180Z GR,,,,,12.96339738
2 avr. 2025,8407659,IGL IN,Indraprastha Gas Ltd.,55102010,Utilities,IN,7.665328874
2 avr. 2025,8407743,AIZ US,Assurant Inc,40301040,Insurance,US,11.45584548
2 avr. 2025,8408827,CTPT LN,LMP Bude Ltd,60101010,Real Estate,GB,7.739115646
2 avr. 2025,841485,ADCB UH,Abu Dhabi Commercial Bank,40101010,Banks,AE,16.69810748
2 avr. 2025,841518,CBQK QD,Commercial Bank of Qatar,40101010,Banks,QA,11.66826501
2 avr. 2025,841520,BSF AB,Banque Saudi Fransi,40101010,Banks,SA,10.40852951
2 avr. 2025,841751,2866 HK,COSCO SHIPPING Development Co Ltd,20107010,Capital Goods,CN,7.986332026
2 avr. 2025,8418438,CDA AU,Codan Ltd.,45203010,Technology Hardware & Equipment,AU,7.871379694
2 avr. 2025,8422002,067160 KS,Soop Co Ltd,50203010,Media & Entertainment,KR,
2 avr. 2025,842314,FISI US,Financial Institutions Inc.,40101015,Banks,US,6.234903996
